case_id,group,radius,allocated_images,state,decision,nominal_delta,lower,upper,minimum_images_for_excluding_world
image-27,singleton,4,1,complete,unresolved,-1/1,-1/1,1/1,0
image-27,singleton,8,1,complete,unresolved,-1/1,-1/1,1/1,0
image-27,singleton,16,1,complete,unresolved,-1/1,-1/1,1/1,0
image-27,singleton,32,1,complete,unresolved,-1/1,-3/1,1/1,0
image-27,singleton,64,1,complete,unresolved,-1/1,-3/1,1/1,0
image-28,singleton,0,1,complete,supported,2/1,2/1,2/1,not_possible_in_family
image-28,singleton,1,1,complete,supported,2/1,2/1,2/1,not_possible_in_family
image-28,singleton,2,1,complete,supported,2/1,2/1,2/1,not_possible_in_family
image-28,singleton,4,1,complete,supported,2/1,2/1,2/1,not_possible_in_family
image-28,singleton,8,1,complete,unresolved,2/1,0/1,2/1,1
image-28,singleton,16,1,complete,unresolved,2/1,0/1,2/1,1
image-28,singleton,32,1,complete,unresolved,2/1,0/1,2/1,1
image-28,singleton,64,1,complete,unresolved,2/1,0/1,2/1,1
image-29,singleton,0,1,complete,supported,1/1,1/1,1/1,not_possible_in_family
image-29,singleton,1,1,complete,supported,1/1,1/1,1/1,not_possible_in_family
image-29,singleton,2,1,complete,supported,1/1,1/1,1/1,not_possible_in_family
image-29,singleton,4,1,complete,supported,1/1,1/1,1/1,not_possible_in_family
image-29,singleton,8,1,complete,supported,1/1,1/1,3/1,not_possible_in_family
image-29,singleton,16,1,complete,unresolved,1/1,-1/1,3/1,1
image-29,singleton,32,1,complete,unresolved,1/1,-1/1,5/1,1
image-29,singleton,64,1,complete,unresolved,1/1,-1/1,5/1,1
image-30,singleton,0,1,complete,excluded,0/1,0/1,0/1,0
image-30,singleton,1,1,complete,unresolved,0/1,0/1,2/1,0
image-30,singleton,2,1,complete,unresolved,0/1,0/1,2/1,0
image-30,singleton,4,1,complete,unresolved,0/1,0/1,2/1,0
image-30,singleton,8,1,complete,unresolved,0/1,0/1,2/1,0
image-30,singleton,16,1,complete,unresolved,0/1,-2/1,2/1,0
image-30,singleton,32,1,complete,unresolved,0/1,-2/1,2/1,0
image-30,singleton,64,1,complete,unresolved,0/1,-2/1,2/1,0
image-31,singleton,0,1,complete,supported,2/1,2/1,2/1,not_possible_in_family
image-31,singleton,1,1,complete,supported,2/1,2/1,2/1,not_possible_in_family
image-31,singleton,2,1,complete,supported,2/1,2/1,2/1,not_possible_in_family
image-31,singleton,4,1,complete,supported,2/1,2/1,2/1,not_possible_in_family
image-31,singleton,8,1,complete,unresolved,2/1,0/1,2/1,1
image-31,singleton,16,1,complete,unresolved,2/1,0/1,4/1,1
image-31,singleton,32,1,complete,unresolved,2/1,0/1,4/1,1
image-31,singleton,64,1,complete,unresolved,2/1,0/1,4/1,1
image-32,singleton,0,1,complete,supported,1/1,1/1,1/1,not_possible_in_family
image-32,singleton,1,1,complete,supported,1/1,1/1,1/1,not_possible_in_family
image-32,singleton,2,1,complete,supported,1/1,1/1,1/1,not_possible_in_family
image-32,singleton,4,1,complete,supported,1/1,1/1,3/1,not_possible_in_family
image-32,singleton,8,1,complete,supported,1/1,1/1,3/1,not_possible_in_family
image-32,singleton,16,1,complete,unresolved,1/1,-1/1,3/1,1
image-32,singleton,32,1,complete,unresolved,1/1,-1/1,3/1,1
image-32,singleton,64,1,complete,unresolved,1/1,-1/1,3/1,1
image-33,singleton,0,1,complete,supported,4/1,4/1,4/1,not_possible_in_family
image-33,singleton,1,1,complete,supported,4/1,4/1,4/1,not_possible_in_family
image-33,singleton,2,1,complete,supported,4/1,4/1,4/1,not_possible_in_family
image-33,singleton,4,1,complete,supported,4/1,4/1,4/1,not_possible_in_family
image-33,singleton,8,1,complete,supported,4/1,2/1,4/1,not_possible_in_family
image-33,singleton,16,1,complete,supported,4/1,2/1,4/1,not_possible_in_family
image-33,singleton,32,1,complete,supported,4/1,2/1,6/1,not_possible_in_family
image-33,singleton,64,1,complete,supported,4/1,2/1,6/1,not_possible_in_family
image-34,singleton,0,1,complete,supported,1/1,1/1,1/1,not_possible_in_family
image-34,singleton,1,1,complete,supported,1/1,1/1,1/1,not_possible_in_family
image-34,singleton,2,1,complete,supported,1/1,1/1,1/1,not_possible_in_family
image-34,singleton,4,1,complete,supported,1/1,1/1,1/1,not_possible_in_family
image-34,singleton,8,1,complete,supported,1/1,1/1,1/1,not_possible_in_family
image-34,singleton,16,1,complete,supported,1/1,1/1,1/1,not_possible_in_family
image-34,singleton,32,1,complete,unresolved,1/1,-1/1,1/1,1
image-34,singleton,64,1,complete,unresolved,1/1,-1/1,3/1,1
image-35,singleton,0,1,complete,excluded,0/1,0/1,0/1,0
image-35,singleton,1,1,complete,excluded,0/1,0/1,0/1,0
image-35,singleton,2,1,complete,excluded,0/1,0/1,0/1,0
image-35,singleton,4,1,complete,excluded,0/1,0/1,0/1,0
image-35,singleton,8,1,complete,excluded,0/1,-2/1,0/1,0
image-35,singleton,16,1,complete,excluded,0/1,-2/1,0/1,0
image-35,singleton,32,1,complete,unresolved,0/1,-2/1,2/1,0
image-35,singleton,64,1,complete,unresolved,0/1,-2/1,2/1,0
image-36,singleton,0,1,complete,supported,1/1,1/1,1/1,not_possible_in_family
image-36,singleton,1,1,complete,supported,1/1,1/1,1/1,not_possible_in_family
image-36,singleton,2,1,complete,supported,1/1,1/1,1/1,not_possible_in_family
image-36,singleton,4,1,complete,unresolved,1/1,-1/1,1/1,1
image-36,singleton,8,1,complete,unresolved,1/1,-1/1,1/1,1
image-36,singleton,16,1,complete,unresolved,1/1,-1/1,1/1,1
image-36,singleton,32,1,complete,unresolved,1/1,-1/1,1/1,1
image-36,singleton,64,1,complete,unresolved,1/1,-1/1,1/1,1
image-37,singleton,0,1,complete,excluded,-1/1,-1/1,-1/1,0
image-37,singleton,1,1,complete,excluded,-1/1,-1/1,-1/1,0
image-37,singleton,2,1,complete,excluded,-1/1,-1/1,-1/1,0
image-37,singleton,4,1,complete,excluded,-1/1,-1/1,-1/1,0
image-37,singleton,8,1,complete,unresolved,-1/1,-1/1,1/1,0
image-37,singleton,16,1,complete,unresolved,-1/1,-1/1,1/1,0
image-37,singleton,32,1,complete,unresolved,-1/1,-1/1,1/1,0
image-37,singleton,64,1,complete,unresolved,-1/1,-1/1,1/1,0
image-38,singleton,0,1,complete,supported,1/1,1/1,1/1,not_possible_in_family
image-38,singleton,1,1,complete,supported,1/1,1/1,1/1,not_possible_in_family
image-38,singleton,2,1,complete,supported,1/1,1/1,1/1,not_possible_in_family
image-38,singleton,4,1,complete,supported,1/1,1/1,1/1,not_possible_in_family
image-38,singleton,8,1,complete,unresolved,1/1,-1/1,1/1,1
image-38,singleton,16,1,complete,unresolved,1/1,-1/1,3/1,1
image-38,singleton,32,1,complete,unresolved,1/1,-1/1,3/1,1
image-38,singleton,64,1,complete,unresolved,1/1,-1/1,3/1,1
image-39,singleton,0,1,complete,excluded,-1/1,-1/1,-1/1,0
image-39,singleton,1,1,complete,excluded,-1/1,-1/1,-1/1,0
image-39,singleton,2,1,complete,excluded,-1/1,-1/1,-1/1,0
image-39,singleton,4,1,complete,excluded,-1/1,-1/1,-1/1,0
image-39,singleton,8,1,complete,excluded,-1/1,-1/1,-1/1,0
image-39,singleton,16,1,complete,excluded,-1/1,-1/1,-1/1,0
image-39,singleton,32,1,complete,excluded,-1/1,-1/1,-1/1,0
image-39,singleton,64,1,complete,unresolved,-1/1,-1/1,1/1,0
image-40,singleton,0,1,complete,excluded,0/1,0/1,0/1,0
image-40,singleton,1,1,complete,excluded,0/1,0/1,0/1,0
image-40,singleton,2,1,complete,excluded,0/1,0/1,0/1,0
image-40,singleton,4,1,complete,unresolved,0/1,0/1,2/1,0
image-40,singleton,8,1,complete,unresolved,0/1,-2/1,2/1,0
image-40,singleton,16,1,complete,unresolved,0/1,-2/1,2/1,0
image-40,singleton,32,1,complete,unresolved,0/1,-2/1,2/1,0
image-40,singleton,64,1,complete,unresolved,0/1,-2/1,2/1,0
image-41,singleton,0,1,complete,supported,1/1,1/1,1/1,not_possible_in_family
image-41,singleton,1,1,complete,supported,1/1,1/1,1/1,not_possible_in_family
image-41,singleton,2,1,complete,supported,1/1,1/1,1/1,not_possible_in_family
image-41,singleton,4,1,complete,supported,1/1,1/1,1/1,not_possible_in_family
image-41,singleton,8,1,complete,supported,1/1,1/1,1/1,not_possible_in_family
image-41,singleton,16,1,complete,unresolved,1/1,-1/1,3/1,1
image-41,singleton,32,1,complete,unresolved,1/1,-1/1,3/1,1
image-41,singleton,64,1,complete,unresolved,1/1,-1/1,3/1,1
image-42,singleton,0,1,complete,excluded,0/1,0/1,0/1,0
image-42,singleton,1,1,complete,excluded,0/1,0/1,0/1,0
image-42,singleton,2,1,complete,excluded,0/1,0/1,0/1,0
image-42,singleton,4,1,complete,excluded,0/1,0/1,0/1,0
image-42,singleton,8,1,complete,excluded,0/1,0/1,0/1,0
image-42,singleton,16,1,complete,excluded,0/1,0/1,0/1,0
image-42,singleton,32,1,complete,excluded,0/1,0/1,0/1,0
image-42,singleton,64,1,complete,excluded,0/1,0/1,0/1,0
image-43,singleton,0,1,complete,excluded,-1/1,-1/1,-1/1,0
image-43,singleton,1,1,complete,excluded,-1/1,-1/1,-1/1,0
image-43,singleton,2,1,complete,excluded,-1/1,-1/1,-1/1,0
image-43,singleton,4,1,complete,excluded,-1/1,-1/1,-1/1,0
image-43,singleton,8,1,complete,excluded,-1/1,-1/1,-1/1,0
image-43,singleton,16,1,complete,excluded,-1/1,-1/1,-1/1,0
image-43,singleton,32,1,complete,unresolved,-1/1,-3/1,1/1,0
image-43,singleton,64,1,complete,unresolved,-1/1,-3/1,1/1,0
image-44,singleton,0,1,complete,supported,1/1,1/1,1/1,not_possible_in_family
image-44,singleton,1,1,complete,supported,1/1,1/1,1/1,not_possible_in_family
image-44,singleton,2,1,complete,supported,1/1,1/1,1/1,not_possible_in_family
image-44,singleton,4,1,complete,supported,1/1,1/1,1/1,not_possible_in_family
image-44,singleton,8,1,complete,supported,1/1,1/1,1/1,not_possible_in_family
image-44,singleton,16,1,complete,supported,1/1,1/1,1/1,not_possible_in_family
image-44,singleton,32,1,complete,supported,1/1,1/1,1/1,not_possible_in_family
image-44,singleton,64,1,complete,supported,1/1,1/1,1/1,not_possible_in_family
image-45,singleton,0,1,complete,supported,1/1,1/1,1/1,not_possible_in_family
image-45,singleton,1,1,complete,supported,1/1,1/1,1/1,not_possible_in_family
image-45,singleton,2,1,complete,supported,1/1,1/1,1/1,not_possible_in_family
image-45,singleton,4,1,complete,supported,1/1,1/1,1/1,not_possible_in_family
image-45,singleton,8,1,complete,unresolved,1/1,-1/1,1/1,1
image-45,singleton,16,1,complete,unresolved,1/1,-1/1,3/1,1
image-45,singleton,32,1,complete,unresolved,1/1,-1/1,3/1,1
image-45,singleton,64,1,complete,unresolved,1/1,-1/1,3/1,1
image-46,singleton,0,1,complete,excluded,-1/1,-1/1,-1/1,0
image-46,singleton,1,1,complete,excluded,-1/1,-1/1,-1/1,0
image-46,singleton,2,1,complete,excluded,-1/1,-1/1,-1/1,0
image-46,singleton,4,1,complete,excluded,-1/1,-1/1,-1/1,0
image-46,singleton,8,1,complete,excluded,-1/1,-1/1,-1/1,0
image-46,singleton,16,1,complete,excluded,-1/1,-1/1,-1/1,0
image-46,singleton,32,1,complete,excluded,-1/1,-1/1,-1/1,0
image-46,singleton,64,1,complete,excluded,-1/1,-1/1,-1/1,0
image-47,singleton,0,1,complete,excluded,0/1,0/1,0/1,0
image-47,singleton,1,1,complete,excluded,0/1,0/1,0/1,0
image-47,singleton,2,1,complete,excluded,0/1,0/1,0/1,0
image-47,singleton,4,1,complete,excluded,0/1,0/1,0/1,0
image-47,singleton,8,1,complete,excluded,0/1,0/1,0/1,0
image-47,singleton,16,1,complete,excluded,0/1,0/1,0/1,0
image-47,singleton,32,1,complete,excluded,0/1,0/1,0/1,0
image-47,singleton,64,1,complete,excluded,0/1,0/1,0/1,0
image-48,singleton,0,1,complete,supported,1/1,1/1,1/1,not_possible_in_family
image-48,singleton,1,1,complete,unresolved,1/1,-1/1,1/1,1
image-48,singleton,2,1,complete,unresolved,1/1,-1/1,1/1,1
