case_id,group,family,state,allocated_images,share,miss_fp_ratio,lower,upper,decision,opposite_worlds
image-00,singleton,axis_translation_32_1,complete,1,1/1,miss_only,-1/1,1/1,unresolved,True
image-00,singleton,axis_translation_64_1,complete,1,0/1,0/1,1/1,3/1,supported,False
image-00,singleton,axis_translation_64_1,complete,1,1/5,1/4,3/5,13/5,supported,False
image-00,singleton,axis_translation_64_1,complete,1,1/3,1/2,1/3,7/3,supported,False
image-00,singleton,axis_translation_64_1,complete,1,1/2,1/1,0/1,2/1,unresolved,True
image-00,singleton,axis_translation_64_1,complete,1,2/3,2/1,-1/3,5/3,unresolved,True
image-00,singleton,axis_translation_64_1,complete,1,4/5,4/1,-3/5,7/5,unresolved,True
image-00,singleton,axis_translation_64_1,complete,1,8/9,8/1,-7/9,11/9,unresolved,True
image-00,singleton,axis_translation_64_1,complete,1,16/17,16/1,-15/17,19/17,unresolved,True
image-00,singleton,axis_translation_64_1,complete,1,1/1,miss_only,-1/1,1/1,unresolved,True
image-00,singleton,planar_translation_1_1,complete,1,0/1,0/1,2/1,2/1,supported,False
image-00,singleton,planar_translation_1_1,complete,1,1/5,1/4,8/5,8/5,supported,False
image-00,singleton,planar_translation_1_1,complete,1,1/3,1/2,4/3,4/3,supported,False
image-00,singleton,planar_translation_1_1,complete,1,1/2,1/1,1/1,1/1,supported,False
image-00,singleton,planar_translation_1_1,complete,1,2/3,2/1,2/3,2/3,supported,False
image-00,singleton,planar_translation_1_1,complete,1,4/5,4/1,2/5,2/5,supported,False
image-00,singleton,planar_translation_1_1,complete,1,8/9,8/1,2/9,2/9,supported,False
image-00,singleton,planar_translation_1_1,complete,1,16/17,16/1,2/17,2/17,supported,False
image-00,singleton,planar_translation_1_1,complete,1,1/1,miss_only,0/1,0/1,excluded,False
image-00,singleton,planar_translation_2_1,complete,1,0/1,0/1,2/1,2/1,supported,False
image-00,singleton,planar_translation_2_1,complete,1,1/5,1/4,8/5,8/5,supported,False
image-00,singleton,planar_translation_2_1,complete,1,1/3,1/2,4/3,4/3,supported,False
image-00,singleton,planar_translation_2_1,complete,1,1/2,1/1,1/1,1/1,supported,False
image-00,singleton,planar_translation_2_1,complete,1,2/3,2/1,2/3,2/3,supported,False
image-00,singleton,planar_translation_2_1,complete,1,4/5,4/1,2/5,2/5,supported,False
image-00,singleton,planar_translation_2_1,complete,1,8/9,8/1,2/9,2/9,supported,False
image-00,singleton,planar_translation_2_1,complete,1,16/17,16/1,2/17,2/17,supported,False
image-00,singleton,planar_translation_2_1,complete,1,1/1,miss_only,0/1,0/1,excluded,False
image-00,singleton,planar_translation_4_1,complete,1,0/1,0/1,2/1,2/1,supported,False
image-00,singleton,planar_translation_4_1,complete,1,1/5,1/4,8/5,8/5,supported,False
image-00,singleton,planar_translation_4_1,complete,1,1/3,1/2,4/3,4/3,supported,False
image-00,singleton,planar_translation_4_1,complete,1,1/2,1/1,1/1,1/1,supported,False
image-00,singleton,planar_translation_4_1,complete,1,2/3,2/1,2/3,2/3,supported,False
image-00,singleton,planar_translation_4_1,complete,1,4/5,4/1,2/5,2/5,supported,False
image-00,singleton,planar_translation_4_1,complete,1,8/9,8/1,2/9,2/9,supported,False
image-00,singleton,planar_translation_4_1,complete,1,16/17,16/1,2/17,2/17,supported,False
image-00,singleton,planar_translation_4_1,complete,1,1/1,miss_only,0/1,0/1,excluded,False
image-00,singleton,planar_translation_5_1,complete,1,0/1,0/1,2/1,2/1,supported,False
image-00,singleton,planar_translation_5_1,complete,1,1/5,1/4,8/5,8/5,supported,False
image-00,singleton,planar_translation_5_1,complete,1,1/3,1/2,4/3,4/3,supported,False
image-00,singleton,planar_translation_5_1,complete,1,1/2,1/1,1/1,1/1,supported,False
image-00,singleton,planar_translation_5_1,complete,1,2/3,2/1,2/3,2/3,supported,False
image-00,singleton,planar_translation_5_1,complete,1,4/5,4/1,2/5,2/5,supported,False
image-00,singleton,planar_translation_5_1,complete,1,8/9,8/1,2/9,2/9,supported,False
image-00,singleton,planar_translation_5_1,complete,1,16/17,16/1,2/17,2/17,supported,False
image-00,singleton,planar_translation_5_1,complete,1,1/1,miss_only,0/1,0/1,excluded,False
image-00,singleton,planar_translation_161_32,complete,1,0/1,0/1,2/1,2/1,supported,False
image-00,singleton,planar_translation_161_32,complete,1,1/5,1/4,8/5,8/5,supported,False
image-00,singleton,planar_translation_161_32,complete,1,1/3,1/2,4/3,4/3,supported,False
image-00,singleton,planar_translation_161_32,complete,1,1/2,1/1,1/1,1/1,supported,False
image-00,singleton,planar_translation_161_32,complete,1,2/3,2/1,2/3,2/3,supported,False
image-00,singleton,planar_translation_161_32,complete,1,4/5,4/1,2/5,2/5,supported,False
image-00,singleton,planar_translation_161_32,complete,1,8/9,8/1,2/9,2/9,supported,False
image-00,singleton,planar_translation_161_32,complete,1,16/17,16/1,2/17,2/17,supported,False
image-00,singleton,planar_translation_161_32,complete,1,1/1,miss_only,0/1,0/1,excluded,False
image-00,singleton,planar_translation_8_1,complete,1,0/1,0/1,2/1,2/1,supported,False
image-00,singleton,planar_translation_8_1,complete,1,1/5,1/4,8/5,8/5,supported,False
image-00,singleton,planar_translation_8_1,complete,1,1/3,1/2,4/3,4/3,supported,False
image-00,singleton,planar_translation_8_1,complete,1,1/2,1/1,1/1,1/1,supported,False
image-00,singleton,planar_translation_8_1,complete,1,2/3,2/1,2/3,2/3,supported,False
image-00,singleton,planar_translation_8_1,complete,1,4/5,4/1,2/5,2/5,supported,False
image-00,singleton,planar_translation_8_1,complete,1,8/9,8/1,2/9,2/9,supported,False
image-00,singleton,planar_translation_8_1,complete,1,16/17,16/1,2/17,2/17,supported,False
image-00,singleton,planar_translation_8_1,complete,1,1/1,miss_only,0/1,0/1,excluded,False
image-00,singleton,planar_translation_16_1,complete,1,0/1,0/1,1/1,3/1,supported,False
image-00,singleton,planar_translation_16_1,complete,1,1/5,1/4,3/5,13/5,supported,False
image-00,singleton,planar_translation_16_1,complete,1,1/3,1/2,1/3,7/3,supported,False
image-00,singleton,planar_translation_16_1,complete,1,1/2,1/1,0/1,2/1,unresolved,True
image-00,singleton,planar_translation_16_1,complete,1,2/3,2/1,-1/3,5/3,unresolved,True
image-00,singleton,planar_translation_16_1,complete,1,4/5,4/1,-3/5,7/5,unresolved,True
image-00,singleton,planar_translation_16_1,complete,1,8/9,8/1,-7/9,11/9,unresolved,True
image-00,singleton,planar_translation_16_1,complete,1,16/17,16/1,-15/17,19/17,unresolved,True
image-00,singleton,planar_translation_16_1,complete,1,1/1,miss_only,-1/1,1/1,unresolved,True
image-00,singleton,planar_translation_32_1,complete,1,0/1,0/1,1/1,3/1,supported,False
image-00,singleton,planar_translation_32_1,complete,1,1/5,1/4,3/5,13/5,supported,False
image-00,singleton,planar_translation_32_1,complete,1,1/3,1/2,1/3,7/3,supported,False
image-00,singleton,planar_translation_32_1,complete,1,1/2,1/1,0/1,2/1,unresolved,True
image-00,singleton,planar_translation_32_1,complete,1,2/3,2/1,-1/3,5/3,unresolved,True
image-00,singleton,planar_translation_32_1,complete,1,4/5,4/1,-3/5,7/5,unresolved,True
image-00,singleton,planar_translation_32_1,complete,1,8/9,8/1,-7/9,11/9,unresolved,True
image-00,singleton,planar_translation_32_1,complete,1,16/17,16/1,-15/17,19/17,unresolved,True
image-00,singleton,planar_translation_32_1,complete,1,1/1,miss_only,-1/1,1/1,unresolved,True
image-00,singleton,planar_translation_64_1,complete,1,0/1,0/1,1/1,3/1,supported,False
image-00,singleton,planar_translation_64_1,complete,1,1/5,1/4,3/5,13/5,supported,False
image-00,singleton,planar_translation_64_1,complete,1,1/3,1/2,1/3,7/3,supported,False
image-00,singleton,planar_translation_64_1,complete,1,1/2,1/1,0/1,2/1,unresolved,True
image-00,singleton,planar_translation_64_1,complete,1,2/3,2/1,-1/3,5/3,unresolved,True
image-00,singleton,planar_translation_64_1,complete,1,4/5,4/1,-3/5,7/5,unresolved,True
image-00,singleton,planar_translation_64_1,complete,1,8/9,8/1,-7/9,11/9,unresolved,True
image-00,singleton,planar_translation_64_1,complete,1,16/17,16/1,-15/17,19/17,unresolved,True
image-00,singleton,planar_translation_64_1,complete,1,1/1,miss_only,-1/1,1/1,unresolved,True
image-01,singleton,exact_projection,complete,1,0/1,0/1,5/1,5/1,supported,False
image-01,singleton,exact_projection,complete,1,1/5,1/4,18/5,18/5,supported,False
image-01,singleton,exact_projection,complete,1,1/3,1/2,8/3,8/3,supported,False
image-01,singleton,exact_projection,complete,1,1/2,1/1,3/2,3/2,supported,False
image-01,singleton,exact_projection,complete,1,2/3,2/1,1/3,1/3,supported,False
image-01,singleton,exact_projection,complete,1,4/5,4/1,-3/5,-3/5,excluded,False
image-01,singleton,exact_projection,complete,1,8/9,8/1,-11/9,-11/9,excluded,False
image-01,singleton,exact_projection,complete,1,16/17,16/1,-27/17,-27/17,excluded,False
image-01,singleton,exact_projection,complete,1,1/1,miss_only,-2/1,-2/1,excluded,False
image-01,singleton,one_edit_global,complete,1,0/1,0/1,4/1,7/1,supported,False
image-01,singleton,one_edit_global,complete,1,1/5,1/4,13/5,28/5,supported,False
image-01,singleton,one_edit_global,complete,1,1/3,1/2,5/3,14/3,supported,False
image-01,singleton,one_edit_global,complete,1,1/2,1/1,1/2,7/2,supported,False
image-01,singleton,one_edit_global,complete,1,2/3,2/1,-2/3,7/3,unresolved,True
image-01,singleton,one_edit_global,complete,1,4/5,4/1,-8/5,7/5,unresolved,True
image-01,singleton,one_edit_global,complete,1,8/9,8/1,-20/9,7/9,unresolved,True
image-01,singleton,one_edit_global,complete,1,16/17,16/1,-44/17,7/17,unresolved,True
image-01,singleton,one_edit_global,complete,1,1/1,miss_only,-3/1,0/1,excluded,False
image-01,singleton,one_edit_per_image,complete,1,0/1,0/1,4/1,7/1,supported,False
image-01,singleton,one_edit_per_image,complete,1,1/5,1/4,13/5,28/5,supported,False
image-01,singleton,one_edit_per_image,complete,1,1/3,1/2,5/3,14/3,supported,False
image-01,singleton,one_edit_per_image,complete,1,1/2,1/1,1/2,7/2,supported,False
image-01,singleton,one_edit_per_image,complete,1,2/3,2/1,-2/3,7/3,unresolved,True
image-01,singleton,one_edit_per_image,complete,1,4/5,4/1,-8/5,7/5,unresolved,True
image-01,singleton,one_edit_per_image,complete,1,8/9,8/1,-20/9,7/9,unresolved,True
image-01,singleton,one_edit_per_image,complete,1,16/17,16/1,-44/17,7/17,unresolved,True
image-01,singleton,one_edit_per_image,complete,1,1/1,miss_only,-3/1,0/1,excluded,False
image-01,singleton,axis_translation_1_1,complete,1,0/1,0/1,5/1,6/1,supported,False
image-01,singleton,axis_translation_1_1,complete,1,1/5,1/4,18/5,23/5,supported,False
image-01,singleton,axis_translation_1_1,complete,1,1/3,1/2,8/3,11/3,supported,False
image-01,singleton,axis_translation_1_1,complete,1,1/2,1/1,3/2,5/2,supported,False
image-01,singleton,axis_translation_1_1,complete,1,2/3,2/1,1/3,4/3,supported,False
image-01,singleton,axis_translation_1_1,complete,1,4/5,4/1,-3/5,2/5,unresolved,True
image-01,singleton,axis_translation_1_1,complete,1,8/9,8/1,-11/9,-2/9,excluded,False
image-01,singleton,axis_translation_1_1,complete,1,16/17,16/1,-27/17,-10/17,excluded,False
image-01,singleton,axis_translation_1_1,complete,1,1/1,miss_only,-2/1,-1/1,excluded,False
image-01,singleton,axis_translation_2_1,complete,1,0/1,0/1,5/1,6/1,supported,False
image-01,singleton,axis_translation_2_1,complete,1,1/5,1/4,18/5,23/5,supported,False
image-01,singleton,axis_translation_2_1,complete,1,1/3,1/2,8/3,11/3,supported,False
image-01,singleton,axis_translation_2_1,complete,1,1/2,1/1,3/2,5/2,supported,False
image-01,singleton,axis_translation_2_1,complete,1,2/3,2/1,1/3,4/3,supported,False
image-01,singleton,axis_translation_2_1,complete,1,4/5,4/1,-3/5,2/5,unresolved,True
image-01,singleton,axis_translation_2_1,complete,1,8/9,8/1,-11/9,-2/9,excluded,False
image-01,singleton,axis_translation_2_1,complete,1,16/17,16/1,-27/17,-10/17,excluded,False
image-01,singleton,axis_translation_2_1,complete,1,1/1,miss_only,-2/1,-1/1,excluded,False
image-01,singleton,axis_translation_4_1,complete,1,0/1,0/1,5/1,6/1,supported,False
image-01,singleton,axis_translation_4_1,complete,1,1/5,1/4,18/5,23/5,supported,False
image-01,singleton,axis_translation_4_1,complete,1,1/3,1/2,8/3,11/3,supported,False
image-01,singleton,axis_translation_4_1,complete,1,1/2,1/1,3/2,5/2,supported,False
image-01,singleton,axis_translation_4_1,complete,1,2/3,2/1,1/3,4/3,supported,False
image-01,singleton,axis_translation_4_1,complete,1,4/5,4/1,-3/5,2/5,unresolved,True
image-01,singleton,axis_translation_4_1,complete,1,8/9,8/1,-11/9,-2/9,excluded,False
image-01,singleton,axis_translation_4_1,complete,1,16/17,16/1,-27/17,-10/17,excluded,False
image-01,singleton,axis_translation_4_1,complete,1,1/1,miss_only,-2/1,-1/1,excluded,False
image-01,singleton,axis_translation_8_1,complete,1,0/1,0/1,4/1,6/1,supported,False
image-01,singleton,axis_translation_8_1,complete,1,1/5,1/4,13/5,23/5,supported,False
image-01,singleton,axis_translation_8_1,complete,1,1/3,1/2,5/3,11/3,supported,False
image-01,singleton,axis_translation_8_1,complete,1,1/2,1/1,1/2,5/2,supported,False
image-01,singleton,axis_translation_8_1,complete,1,2/3,2/1,-2/3,4/3,unresolved,True
image-01,singleton,axis_translation_8_1,complete,1,4/5,4/1,-8/5,2/5,unresolved,True
image-01,singleton,axis_translation_8_1,complete,1,8/9,8/1,-20/9,-2/9,excluded,False
image-01,singleton,axis_translation_8_1,complete,1,16/17,16/1,-44/17,-10/17,excluded,False
image-01,singleton,axis_translation_8_1,complete,1,1/1,miss_only,-3/1,-1/1,excluded,False
image-01,singleton,axis_translation_16_1,complete,1,0/1,0/1,4/1,6/1,supported,False
image-01,singleton,axis_translation_16_1,complete,1,1/5,1/4,13/5,23/5,supported,False
image-01,singleton,axis_translation_16_1,complete,1,1/3,1/2,5/3,11/3,supported,False
image-01,singleton,axis_translation_16_1,complete,1,1/2,1/1,1/2,5/2,supported,False
image-01,singleton,axis_translation_16_1,complete,1,2/3,2/1,-2/3,4/3,unresolved,True
image-01,singleton,axis_translation_16_1,complete,1,4/5,4/1,-8/5,2/5,unresolved,True
image-01,singleton,axis_translation_16_1,complete,1,8/9,8/1,-20/9,-2/9,excluded,False
image-01,singleton,axis_translation_16_1,complete,1,16/17,16/1,-44/17,-10/17,excluded,False
image-01,singleton,axis_translation_16_1,complete,1,1/1,miss_only,-3/1,-1/1,excluded,False
image-01,singleton,axis_translation_32_1,complete,1,0/1,0/1,4/1,6/1,supported,False
image-01,singleton,axis_translation_32_1,complete,1,1/5,1/4,13/5,23/5,supported,False
image-01,singleton,axis_translation_32_1,complete,1,1/3,1/2,5/3,11/3,supported,False
image-01,singleton,axis_translation_32_1,complete,1,1/2,1/1,1/2,5/2,supported,False
image-01,singleton,axis_translation_32_1,complete,1,2/3,2/1,-2/3,4/3,unresolved,True
image-01,singleton,axis_translation_32_1,complete,1,4/5,4/1,-8/5,2/5,unresolved,True
image-01,singleton,axis_translation_32_1,complete,1,8/9,8/1,-20/9,-2/9,excluded,False
image-01,singleton,axis_translation_32_1,complete,1,16/17,16/1,-44/17,-10/17,excluded,False
image-01,singleton,axis_translation_32_1,complete,1,1/1,miss_only,-3/1,-1/1,excluded,False
image-01,singleton,axis_translation_64_1,complete,1,0/1,0/1,4/1,6/1,supported,False
image-01,singleton,axis_translation_64_1,complete,1,1/5,1/4,13/5,23/5,supported,False
image-01,singleton,axis_translation_64_1,complete,1,1/3,1/2,5/3,11/3,supported,False
image-01,singleton,axis_translation_64_1,complete,1,1/2,1/1,1/2,5/2,supported,False
image-01,singleton,axis_translation_64_1,complete,1,2/3,2/1,-2/3,4/3,unresolved,True
image-01,singleton,axis_translation_64_1,complete,1,4/5,4/1,-8/5,2/5,unresolved,True
image-01,singleton,axis_translation_64_1,complete,1,8/9,8/1,-20/9,-2/9,excluded,False
image-01,singleton,axis_translation_64_1,complete,1,16/17,16/1,-44/17,-10/17,excluded,False
image-01,singleton,axis_translation_64_1,complete,1,1/1,miss_only,-3/1,-1/1,excluded,False
image-01,singleton,planar_translation_1_1,complete,1,0/1,0/1,5/1,6/1,supported,False
image-01,singleton,planar_translation_1_1,complete,1,1/5,1/4,18/5,23/5,supported,False
image-01,singleton,planar_translation_1_1,complete,1,1/3,1/2,8/3,11/3,supported,False
image-01,singleton,planar_translation_1_1,complete,1,1/2,1/1,3/2,5/2,supported,False
image-01,singleton,planar_translation_1_1,complete,1,2/3,2/1,1/3,4/3,supported,False
image-01,singleton,planar_translation_1_1,complete,1,4/5,4/1,-3/5,2/5,unresolved,True
image-01,singleton,planar_translation_1_1,complete,1,8/9,8/1,-11/9,-2/9,excluded,False
image-01,singleton,planar_translation_1_1,complete,1,16/17,16/1,-27/17,-10/17,excluded,False
image-01,singleton,planar_translation_1_1,complete,1,1/1,miss_only,-2/1,-1/1,excluded,False
image-01,singleton,planar_translation_2_1,complete,1,0/1,0/1,5/1,6/1,supported,False
image-01,singleton,planar_translation_2_1,complete,1,1/5,1/4,18/5,23/5,supported,False
image-01,singleton,planar_translation_2_1,complete,1,1/3,1/2,8/3,11/3,supported,False
image-01,singleton,planar_translation_2_1,complete,1,1/2,1/1,3/2,5/2,supported,False
image-01,singleton,planar_translation_2_1,complete,1,2/3,2/1,1/3,4/3,supported,False
image-01,singleton,planar_translation_2_1,complete,1,4/5,4/1,-3/5,2/5,unresolved,True
image-01,singleton,planar_translation_2_1,complete,1,8/9,8/1,-11/9,-2/9,excluded,False
image-01,singleton,planar_translation_2_1,complete,1,16/17,16/1,-27/17,-10/17,excluded,False
image-01,singleton,planar_translation_2_1,complete,1,1/1,miss_only,-2/1,-1/1,excluded,False
image-01,singleton,planar_translation_4_1,complete,1,0/1,0/1,4/1,6/1,supported,False
image-01,singleton,planar_translation_4_1,complete,1,1/5,1/4,13/5,23/5,supported,False
image-01,singleton,planar_translation_4_1,complete,1,1/3,1/2,5/3,11/3,supported,False
image-01,singleton,planar_translation_4_1,complete,1,1/2,1/1,1/2,5/2,supported,False
image-01,singleton,planar_translation_4_1,complete,1,2/3,2/1,-2/3,4/3,unresolved,True
image-01,singleton,planar_translation_4_1,complete,1,4/5,4/1,-8/5,2/5,unresolved,True
image-01,singleton,planar_translation_4_1,complete,1,8/9,8/1,-20/9,-2/9,excluded,False
image-01,singleton,planar_translation_4_1,complete,1,16/17,16/1,-44/17,-10/17,excluded,False
image-01,singleton,planar_translation_4_1,complete,1,1/1,miss_only,-3/1,-1/1,excluded,False
image-01,singleton,planar_translation_5_1,complete,1,0/1,0/1,4/1,6/1,supported,False
image-01,singleton,planar_translation_5_1,complete,1,1/5,1/4,13/5,23/5,supported,False
image-01,singleton,planar_translation_5_1,complete,1,1/3,1/2,5/3,11/3,supported,False
image-01,singleton,planar_translation_5_1,complete,1,1/2,1/1,1/2,5/2,supported,False
image-01,singleton,planar_translation_5_1,complete,1,2/3,2/1,-2/3,4/3,unresolved,True
image-01,singleton,planar_translation_5_1,complete,1,4/5,4/1,-8/5,2/5,unresolved,True
image-01,singleton,planar_translation_5_1,complete,1,8/9,8/1,-20/9,-2/9,excluded,False
image-01,singleton,planar_translation_5_1,complete,1,16/17,16/1,-44/17,-10/17,excluded,False
image-01,singleton,planar_translation_5_1,complete,1,1/1,miss_only,-3/1,-1/1,excluded,False
image-01,singleton,planar_translation_161_32,complete,1,0/1,0/1,4/1,6/1,supported,False
image-01,singleton,planar_translation_161_32,complete,1,1/5,1/4,13/5,23/5,supported,False
image-01,singleton,planar_translation_161_32,complete,1,1/3,1/2,5/3,11/3,supported,False
image-01,singleton,planar_translation_161_32,complete,1,1/2,1/1,1/2,5/2,supported,False
image-01,singleton,planar_translation_161_32,complete,1,2/3,2/1,-2/3,4/3,unresolved,True
image-01,singleton,planar_translation_161_32,complete,1,4/5,4/1,-8/5,2/5,unresolved,True
image-01,singleton,planar_translation_161_32,complete,1,8/9,8/1,-20/9,-2/9,excluded,False
image-01,singleton,planar_translation_161_32,complete,1,16/17,16/1,-44/17,-10/17,excluded,False
image-01,singleton,planar_translation_161_32,complete,1,1/1,miss_only,-3/1,-1/1,excluded,False
image-01,singleton,planar_translation_8_1,complete,1,0/1,0/1,4/1,6/1,supported,False
image-01,singleton,planar_translation_8_1,complete,1,1/5,1/4,13/5,23/5,supported,False
image-01,singleton,planar_translation_8_1,complete,1,1/3,1/2,5/3,11/3,supported,False
image-01,singleton,planar_translation_8_1,complete,1,1/2,1/1,1/2,5/2,supported,False
