case_id,group,allocated_images,state,decision,unresolved_reason,exact_extrema,radius,failed_images,nominal_delta,universal_bounds_lower,universal_bounds_upper,attained_bounds_lower,attained_bounds_upper
image-41,singleton,1,complete,supported,,True,0/1,0,1/1,1/1,1/1,1/1,1/1
image-42,singleton,1,complete,excluded,,True,0/1,0,0/1,0/1,0/1,0/1,0/1
image-43,singleton,1,complete,excluded,,True,0/1,0,-1/1,-1/1,-1/1,-1/1,-1/1
image-44,singleton,1,complete,supported,,True,0/1,0,1/1,1/1,1/1,1/1,1/1
image-45,singleton,1,complete,supported,,True,0/1,0,1/1,1/1,1/1,1/1,1/1
image-46,singleton,1,complete,excluded,,True,0/1,0,-1/1,-1/1,-1/1,-1/1,-1/1
image-47,singleton,1,complete,excluded,,True,0/1,0,0/1,0/1,0/1,0/1,0/1
image-48,singleton,1,complete,supported,,True,0/1,0,1/1,1/1,1/1,1/1,1/1
image-49,singleton,1,complete,excluded,,True,0/1,0,0/1,0/1,0/1,0/1,0/1
image-50,singleton,1,complete,supported,,True,0/1,0,2/1,2/1,2/1,2/1,2/1
image-51,singleton,1,complete,excluded,,True,0/1,0,0/1,0/1,0/1,0/1,0/1
image-52,singleton,1,complete,supported,,True,0/1,0,1/1,1/1,1/1,1/1,1/1
image-53,singleton,1,complete,excluded,,True,0/1,0,0/1,0/1,0/1,0/1,0/1
image-54,singleton,1,complete,excluded,,True,0/1,0,0/1,0/1,0/1,0/1,0/1
image-55,singleton,1,complete,excluded,,True,0/1,0,-2/1,-2/1,-2/1,-2/1,-2/1
image-56,singleton,1,complete,excluded,,True,0/1,0,0/1,0/1,0/1,0/1,0/1
image-57,singleton,1,complete,supported,,True,0/1,0,2/1,2/1,2/1,2/1,2/1
image-58,singleton,1,complete,supported,,True,0/1,0,1/1,1/1,1/1,1/1,1/1
image-59,singleton,1,complete,supported,,True,0/1,0,1/1,1/1,1/1,1/1,1/1
image-60,singleton,1,complete,excluded,,True,0/1,0,-3/1,-3/1,-3/1,-3/1,-3/1
image-61,singleton,1,complete,supported,,True,0/1,0,1/1,1/1,1/1,1/1,1/1
image-62,singleton,1,complete,supported,,True,0/1,0,3/1,3/1,3/1,3/1,3/1
image-63,singleton,1,complete,excluded,,True,0/1,0,-1/1,-1/1,-1/1,-1/1,-1/1
block-00,block,8,complete,supported,,True,0/1,0,1/1,1/1,1/1,1/1,1/1
block-01,block,8,complete,supported,,True,0/1,0,7/4,7/4,7/4,7/4,7/4
block-02,block,8,complete,supported,,True,0/1,0,1/4,1/4,1/4,1/4,1/4
block-03,block,8,complete,excluded,,True,0/1,0,0/1,0/1,0/1,0/1,0/1
block-04,block,8,complete,supported,,True,0/1,0,3/4,3/4,3/4,3/4,3/4
block-05,block,8,complete,supported,,True,0/1,0,1/8,1/8,1/8,1/8,1/8
block-06,block,8,complete,supported,,True,0/1,0,1/4,1/4,1/4,1/4,1/4
block-07,block,8,complete,supported,,True,0/1,0,1/2,1/2,1/2,1/2,1/2
all-64,primary,64,complete,supported,,True,0/1,0,37/64,37/64,37/64,37/64,37/64
image-00,singleton,1,complete,supported,,True,1/1,0,2/1,2/1,2/1,2/1,2/1
image-01,singleton,1,complete,supported,,True,1/1,0,3/1,3/1,5/1,3/1,5/1
image-02,singleton,1,complete,supported,,True,1/1,0,2/1,2/1,2/1,2/1,2/1
image-03,singleton,1,complete,excluded,,True,1/1,0,0/1,0/1,0/1,0/1,0/1
image-04,singleton,1,complete,excluded,,True,1/1,0,0/1,0/1,0/1,0/1,0/1
image-05,singleton,1,complete,excluded,,True,1/1,0,0/1,0/1,0/1,0/1,0/1
image-06,singleton,1,complete,excluded,,True,1/1,0,0/1,0/1,0/1,0/1,0/1
image-07,singleton,1,complete,supported,,True,1/1,0,1/1,1/1,1/1,1/1,1/1
image-08,singleton,1,complete,excluded,,True,1/1,0,0/1,-2/1,0/1,-2/1,0/1
image-09,singleton,1,complete,excluded,,True,1/1,0,-1/1,-1/1,-1/1,-1/1,-1/1
image-10,singleton,1,complete,supported,,True,1/1,0,2/1,2/1,2/1,2/1,2/1
image-11,singleton,1,complete,supported,,True,1/1,0,4/1,4/1,4/1,4/1,4/1
image-12,singleton,1,complete,excluded,,True,1/1,0,-1/1,-1/1,-1/1,-1/1,-1/1
image-13,singleton,1,complete,supported,,True,1/1,0,9/1,7/1,9/1,7/1,9/1
image-14,singleton,1,complete,excluded,,True,1/1,0,0/1,0/1,0/1,0/1,0/1
image-15,singleton,1,complete,supported,,True,1/1,0,1/1,1/1,1/1,1/1,1/1
image-16,singleton,1,complete,excluded,,True,1/1,0,-1/1,-1/1,-1/1,-1/1,-1/1
image-17,singleton,1,complete,excluded,,True,1/1,0,0/1,0/1,0/1,0/1,0/1
image-18,singleton,1,complete,excluded,,True,1/1,0,0/1,0/1,0/1,0/1,0/1
image-19,singleton,1,complete,supported,,True,1/1,0,2/1,2/1,2/1,2/1,2/1
image-20,singleton,1,complete,excluded,,True,1/1,0,0/1,0/1,0/1,0/1,0/1
image-21,singleton,1,complete,supported,,True,1/1,0,1/1,1/1,1/1,1/1,1/1
image-22,singleton,1,complete,excluded,,True,1/1,0,0/1,0/1,0/1,0/1,0/1
image-23,singleton,1,complete,excluded,,True,1/1,0,0/1,0/1,0/1,0/1,0/1
image-24,singleton,1,complete,excluded,,True,1/1,0,0/1,0/1,0/1,0/1,0/1
image-25,singleton,1,complete,excluded,,True,1/1,0,-1/1,-1/1,-1/1,-1/1,-1/1
image-26,singleton,1,complete,excluded,,True,1/1,0,-3/1,-3/1,-1/1,-3/1,-1/1
image-27,singleton,1,complete,excluded,,True,1/1,0,-1/1,-1/1,-1/1,-1/1,-1/1
image-28,singleton,1,complete,supported,,True,1/1,0,2/1,2/1,2/1,2/1,2/1
image-29,singleton,1,complete,supported,,True,1/1,0,1/1,1/1,1/1,1/1,1/1
image-30,singleton,1,complete,unresolved,opposite_worlds,True,1/1,0,0/1,0/1,2/1,0/1,2/1
image-31,singleton,1,complete,supported,,True,1/1,0,2/1,2/1,2/1,2/1,2/1
image-32,singleton,1,complete,supported,,True,1/1,0,1/1,1/1,1/1,1/1,1/1
image-33,singleton,1,complete,supported,,True,1/1,0,4/1,4/1,4/1,4/1,4/1
image-34,singleton,1,complete,supported,,True,1/1,0,1/1,1/1,1/1,1/1,1/1
image-35,singleton,1,complete,excluded,,True,1/1,0,0/1,0/1,0/1,0/1,0/1
image-36,singleton,1,complete,supported,,True,1/1,0,1/1,1/1,1/1,1/1,1/1
image-37,singleton,1,complete,excluded,,True,1/1,0,-1/1,-1/1,-1/1,-1/1,-1/1
image-38,singleton,1,complete,supported,,True,1/1,0,1/1,1/1,1/1,1/1,1/1
image-39,singleton,1,complete,excluded,,True,1/1,0,-1/1,-1/1,-1/1,-1/1,-1/1
image-40,singleton,1,complete,excluded,,True,1/1,0,0/1,0/1,0/1,0/1,0/1
image-41,singleton,1,complete,supported,,True,1/1,0,1/1,1/1,1/1,1/1,1/1
image-42,singleton,1,complete,excluded,,True,1/1,0,0/1,0/1,0/1,0/1,0/1
image-43,singleton,1,complete,excluded,,True,1/1,0,-1/1,-1/1,-1/1,-1/1,-1/1
image-44,singleton,1,complete,supported,,True,1/1,0,1/1,1/1,1/1,1/1,1/1
image-45,singleton,1,complete,supported,,True,1/1,0,1/1,1/1,1/1,1/1,1/1
image-46,singleton,1,complete,excluded,,True,1/1,0,-1/1,-1/1,-1/1,-1/1,-1/1
image-47,singleton,1,complete,excluded,,True,1/1,0,0/1,0/1,0/1,0/1,0/1
image-48,singleton,1,complete,unresolved,opposite_worlds,True,1/1,0,1/1,-1/1,1/1,-1/1,1/1
image-49,singleton,1,complete,excluded,,True,1/1,0,0/1,0/1,0/1,0/1,0/1
image-50,singleton,1,complete,supported,,True,1/1,0,2/1,2/1,2/1,2/1,2/1
image-51,singleton,1,complete,excluded,,True,1/1,0,0/1,0/1,0/1,0/1,0/1
image-52,singleton,1,complete,supported,,True,1/1,0,1/1,1/1,1/1,1/1,1/1
image-53,singleton,1,complete,excluded,,True,1/1,0,0/1,0/1,0/1,0/1,0/1
image-54,singleton,1,complete,excluded,,True,1/1,0,0/1,0/1,0/1,0/1,0/1
image-55,singleton,1,complete,excluded,,True,1/1,0,-2/1,-2/1,-2/1,-2/1,-2/1
image-56,singleton,1,complete,excluded,,True,1/1,0,0/1,0/1,0/1,0/1,0/1
image-57,singleton,1,complete,supported,,True,1/1,0,2/1,2/1,2/1,2/1,2/1
image-58,singleton,1,complete,supported,,True,1/1,0,1/1,1/1,1/1,1/1,1/1
image-59,singleton,1,complete,supported,,True,1/1,0,1/1,1/1,1/1,1/1,1/1
image-60,singleton,1,complete,excluded,,True,1/1,0,-3/1,-3/1,-3/1,-3/1,-3/1
image-61,singleton,1,complete,supported,,True,1/1,0,1/1,1/1,1/1,1/1,1/1
image-62,singleton,1,complete,supported,,True,1/1,0,3/1,3/1,3/1,3/1,3/1
image-63,singleton,1,complete,excluded,,True,1/1,0,-1/1,-1/1,-1/1,-1/1,-1/1
block-00,block,8,complete,supported,,True,1/1,0,1/1,1/1,5/4,1/1,5/4
block-01,block,8,complete,supported,,True,1/1,0,7/4,5/4,7/4,5/4,7/4
block-02,block,8,complete,supported,,True,1/1,0,1/4,1/4,1/4,1/4,1/4
block-03,block,8,complete,unresolved,opposite_worlds,True,1/1,0,0/1,0/1,1/2,0/1,1/2
block-04,block,8,complete,supported,,True,1/1,0,3/4,3/4,3/4,3/4,3/4
block-05,block,8,complete,supported,,True,1/1,0,1/8,1/8,1/8,1/8,1/8
block-06,block,8,complete,unresolved,opposite_worlds,True,1/1,0,1/4,0/1,1/4,0/1,1/4
block-07,block,8,complete,supported,,True,1/1,0,1/2,1/2,1/2,1/2,1/2
all-64,primary,64,complete,supported,,True,1/1,0,37/64,31/64,43/64,31/64,43/64
image-00,singleton,1,complete,supported,,True,2/1,0,2/1,2/1,2/1,2/1,2/1
image-01,singleton,1,complete,supported,,True,2/1,0,3/1,3/1,5/1,3/1,5/1
image-02,singleton,1,complete,supported,,True,2/1,0,2/1,2/1,2/1,2/1,2/1
image-03,singleton,1,complete,excluded,,True,2/1,0,0/1,0/1,0/1,0/1,0/1
image-04,singleton,1,complete,excluded,,True,2/1,0,0/1,0/1,0/1,0/1,0/1
image-05,singleton,1,complete,unresolved,opposite_worlds,True,2/1,0,0/1,0/1,2/1,0/1,2/1
image-06,singleton,1,complete,excluded,,True,2/1,0,0/1,0/1,0/1,0/1,0/1
image-07,singleton,1,complete,supported,,True,2/1,0,1/1,1/1,1/1,1/1,1/1
image-08,singleton,1,complete,excluded,,True,2/1,0,0/1,-2/1,0/1,-2/1,0/1
image-09,singleton,1,complete,excluded,,True,2/1,0,-1/1,-1/1,-1/1,-1/1,-1/1
image-10,singleton,1,complete,supported,,True,2/1,0,2/1,2/1,2/1,2/1,2/1
image-11,singleton,1,complete,supported,,True,2/1,0,4/1,4/1,4/1,4/1,4/1
image-12,singleton,1,complete,excluded,,True,2/1,0,-1/1,-1/1,-1/1,-1/1,-1/1
image-13,singleton,1,complete,supported,,True,2/1,0,9/1,7/1,9/1,7/1,9/1
image-14,singleton,1,complete,excluded,,True,2/1,0,0/1,0/1,0/1,0/1,0/1
image-15,singleton,1,complete,supported,,True,2/1,0,1/1,1/1,1/1,1/1,1/1
image-16,singleton,1,complete,excluded,,True,2/1,0,-1/1,-1/1,-1/1,-1/1,-1/1
image-17,singleton,1,complete,excluded,,True,2/1,0,0/1,0/1,0/1,0/1,0/1
image-18,singleton,1,complete,excluded,,True,2/1,0,0/1,0/1,0/1,0/1,0/1
image-19,singleton,1,complete,supported,,True,2/1,0,2/1,2/1,2/1,2/1,2/1
image-20,singleton,1,complete,excluded,,True,2/1,0,0/1,0/1,0/1,0/1,0/1
image-21,singleton,1,complete,supported,,True,2/1,0,1/1,1/1,1/1,1/1,1/1
image-22,singleton,1,complete,excluded,,True,2/1,0,0/1,0/1,0/1,0/1,0/1
image-23,singleton,1,complete,excluded,,True,2/1,0,0/1,0/1,0/1,0/1,0/1
image-24,singleton,1,complete,excluded,,True,2/1,0,0/1,0/1,0/1,0/1,0/1
image-25,singleton,1,complete,excluded,,True,2/1,0,-1/1,-1/1,-1/1,-1/1,-1/1
image-26,singleton,1,complete,excluded,,True,2/1,0,-3/1,-3/1,-1/1,-3/1,-1/1
image-27,singleton,1,complete,excluded,,True,2/1,0,-1/1,-1/1,-1/1,-1/1,-1/1
image-28,singleton,1,complete,supported,,True,2/1,0,2/1,2/1,2/1,2/1,2/1
image-29,singleton,1,complete,supported,,True,2/1,0,1/1,1/1,1/1,1/1,1/1
image-30,singleton,1,complete,unresolved,opposite_worlds,True,2/1,0,0/1,0/1,2/1,0/1,2/1
image-31,singleton,1,complete,supported,,True,2/1,0,2/1,2/1,2/1,2/1,2/1
image-32,singleton,1,complete,supported,,True,2/1,0,1/1,1/1,1/1,1/1,1/1
image-33,singleton,1,complete,supported,,True,2/1,0,4/1,4/1,4/1,4/1,4/1
image-34,singleton,1,complete,supported,,True,2/1,0,1/1,1/1,1/1,1/1,1/1
image-35,singleton,1,complete,excluded,,True,2/1,0,0/1,0/1,0/1,0/1,0/1
image-36,singleton,1,complete,supported,,True,2/1,0,1/1,1/1,1/1,1/1,1/1
image-37,singleton,1,complete,excluded,,True,2/1,0,-1/1,-1/1,-1/1,-1/1,-1/1
image-38,singleton,1,complete,supported,,True,2/1,0,1/1,1/1,1/1,1/1,1/1
image-39,singleton,1,complete,excluded,,True,2/1,0,-1/1,-1/1,-1/1,-1/1,-1/1
image-40,singleton,1,complete,excluded,,True,2/1,0,0/1,0/1,0/1,0/1,0/1
image-41,singleton,1,complete,supported,,True,2/1,0,1/1,1/1,1/1,1/1,1/1
image-42,singleton,1,complete,excluded,,True,2/1,0,0/1,0/1,0/1,0/1,0/1
image-43,singleton,1,complete,excluded,,True,2/1,0,-1/1,-1/1,-1/1,-1/1,-1/1
image-44,singleton,1,complete,supported,,True,2/1,0,1/1,1/1,1/1,1/1,1/1
image-45,singleton,1,complete,supported,,True,2/1,0,1/1,1/1,1/1,1/1,1/1
image-46,singleton,1,complete,excluded,,True,2/1,0,-1/1,-1/1,-1/1,-1/1,-1/1
image-47,singleton,1,complete,excluded,,True,2/1,0,0/1,0/1,0/1,0/1,0/1
image-48,singleton,1,complete,unresolved,opposite_worlds,True,2/1,0,1/1,-1/1,1/1,-1/1,1/1
image-49,singleton,1,complete,excluded,,True,2/1,0,0/1,0/1,0/1,0/1,0/1
image-50,singleton,1,complete,supported,,True,2/1,0,2/1,2/1,2/1,2/1,2/1
image-51,singleton,1,complete,excluded,,True,2/1,0,0/1,0/1,0/1,0/1,0/1
image-52,singleton,1,complete,supported,,True,2/1,0,1/1,1/1,1/1,1/1,1/1
image-53,singleton,1,complete,excluded,,True,2/1,0,0/1,0/1,0/1,0/1,0/1
image-54,singleton,1,complete,excluded,,True,2/1,0,0/1,0/1,0/1,0/1,0/1
image-55,singleton,1,complete,excluded,,True,2/1,0,-2/1,-2/1,-2/1,-2/1,-2/1
image-56,singleton,1,complete,excluded,,True,2/1,0,0/1,0/1,0/1,0/1,0/1
image-57,singleton,1,complete,supported,,True,2/1,0,2/1,2/1,2/1,2/1,2/1
image-58,singleton,1,complete,supported,,True,2/1,0,1/1,1/1,1/1,1/1,1/1
image-59,singleton,1,complete,supported,,True,2/1,0,1/1,1/1,1/1,1/1,1/1
image-60,singleton,1,complete,excluded,,True,2/1,0,-3/1,-3/1,-3/1,-3/1,-3/1
image-61,singleton,1,complete,unresolved,opposite_worlds,True,2/1,0,1/1,-1/1,1/1,-1/1,1/1
image-62,singleton,1,complete,supported,,True,2/1,0,3/1,3/1,5/1,3/1,5/1
image-63,singleton,1,complete,excluded,,True,2/1,0,-1/1,-1/1,-1/1,-1/1,-1/1
block-00,block,8,complete,supported,,True,2/1,0,1/1,1/1,3/2,1/1,3/2
block-01,block,8,complete,supported,,True,2/1,0,7/4,5/4,7/4,5/4,7/4
block-02,block,8,complete,supported,,True,2/1,0,1/4,1/4,1/4,1/4,1/4
block-03,block,8,complete,unresolved,opposite_worlds,True,2/1,0,0/1,0/1,1/2,0/1,1/2
block-04,block,8,complete,supported,,True,2/1,0,3/4,3/4,3/4,3/4,3/4
block-05,block,8,complete,supported,,True,2/1,0,1/8,1/8,1/8,1/8,1/8
block-06,block,8,complete,unresolved,opposite_worlds,True,2/1,0,1/4,0/1,1/4,0/1,1/4
block-07,block,8,complete,supported,,True,2/1,0,1/2,1/4,3/4,1/4,3/4
all-64,primary,64,complete,supported,,True,2/1,0,37/64,29/64,47/64,29/64,47/64
image-00,singleton,1,complete,supported,,True,4/1,0,2/1,2/1,2/1,2/1,2/1
image-01,singleton,1,complete,supported,,True,4/1,0,3/1,1/1,5/1,1/1,5/1
image-02,singleton,1,complete,supported,,True,4/1,0,2/1,2/1,2/1,2/1,2/1
image-03,singleton,1,complete,excluded,,True,4/1,0,0/1,0/1,0/1,0/1,0/1
image-04,singleton,1,complete,excluded,,True,4/1,0,0/1,0/1,0/1,0/1,0/1
image-05,singleton,1,complete,unresolved,opposite_worlds,True,4/1,0,0/1,0/1,2/1,0/1,2/1
image-06,singleton,1,complete,excluded,,True,4/1,0,0/1,0/1,0/1,0/1,0/1
image-07,singleton,1,complete,supported,,True,4/1,0,1/1,1/1,1/1,1/1,1/1
image-08,singleton,1,complete,excluded,,True,4/1,0,0/1,-2/1,0/1,-2/1,0/1
image-09,singleton,1,complete,excluded,,True,4/1,0,-1/1,-1/1,-1/1,-1/1,-1/1
image-10,singleton,1,complete,unresolved,opposite_worlds,True,4/1,0,2/1,0/1,2/1,0/1,2/1
image-11,singleton,1,complete,supported,,True,4/1,0,4/1,4/1,4/1,4/1,4/1
image-12,singleton,1,complete,excluded,,True,4/1,0,-1/1,-1/1,-1/1,-1/1,-1/1
image-13,singleton,1,complete,supported,,True,4/1,0,9/1,7/1,9/1,7/1,9/1
image-14,singleton,1,complete,excluded,,True,4/1,0,0/1,0/1,0/1,0/1,0/1
image-15,singleton,1,complete,supported,,True,4/1,0,1/1,1/1,1/1,1/1,1/1
image-16,singleton,1,complete,excluded,,True,4/1,0,-1/1,-1/1,-1/1,-1/1,-1/1
image-17,singleton,1,complete,excluded,,True,4/1,0,0/1,0/1,0/1,0/1,0/1
image-18,singleton,1,complete,excluded,,True,4/1,0,0/1,0/1,0/1,0/1,0/1
image-19,singleton,1,complete,supported,,True,4/1,0,2/1,2/1,2/1,2/1,2/1
image-20,singleton,1,complete,excluded,,True,4/1,0,0/1,0/1,0/1,0/1,0/1
image-21,singleton,1,complete,unresolved,opposite_worlds,True,4/1,0,1/1,-1/1,1/1,-1/1,1/1
image-22,singleton,1,complete,excluded,,True,4/1,0,0/1,0/1,0/1,0/1,0/1
image-23,singleton,1,complete,excluded,,True,4/1,0,0/1,0/1,0/1,0/1,0/1
image-24,singleton,1,complete,excluded,,True,4/1,0,0/1,0/1,0/1,0/1,0/1
image-25,singleton,1,complete,excluded,,True,4/1,0,-1/1,-1/1,-1/1,-1/1,-1/1
image-26,singleton,1,complete,excluded,,True,4/1,0,-3/1,-3/1,-1/1,-3/1,-1/1
image-27,singleton,1,complete,unresolved,opposite_worlds,True,4/1,0,-1/1,-1/1,1/1,-1/1,1/1
image-28,singleton,1,complete,supported,,True,4/1,0,2/1,2/1,2/1,2/1,2/1
image-29,singleton,1,complete,supported,,True,4/1,0,1/1,1/1,3/1,1/1,3/1
image-30,singleton,1,complete,unresolved,opposite_worlds,True,4/1,0,0/1,0/1,2/1,0/1,2/1
image-31,singleton,1,complete,supported,,True,4/1,0,2/1,2/1,2/1,2/1,2/1
image-32,singleton,1,complete,supported,,True,4/1,0,1/1,1/1,3/1,1/1,3/1
image-33,singleton,1,complete,supported,,True,4/1,0,4/1,4/1,4/1,4/1,4/1
image-34,singleton,1,complete,supported,,True,4/1,0,1/1,1/1,1/1,1/1,1/1
image-35,singleton,1,complete,excluded,,True,4/1,0,0/1,-2/1,0/1,-2/1,0/1
image-36,singleton,1,complete,unresolved,opposite_worlds,True,4/1,0,1/1,-1/1,1/1,-1/1,1/1
image-37,singleton,1,complete,excluded,,True,4/1,0,-1/1,-1/1,-1/1,-1/1,-1/1
image-38,singleton,1,complete,supported,,True,4/1,0,1/1,1/1,1/1,1/1,1/1
image-39,singleton,1,complete,excluded,,True,4/1,0,-1/1,-1/1,-1/1,-1/1,-1/1
image-40,singleton,1,complete,unresolved,opposite_worlds,True,4/1,0,0/1,-2/1,2/1,-2/1,2/1
image-41,singleton,1,complete,supported,,True,4/1,0,1/1,1/1,1/1,1/1,1/1
image-42,singleton,1,complete,excluded,,True,4/1,0,0/1,0/1,0/1,0/1,0/1
image-43,singleton,1,complete,excluded,,True,4/1,0,-1/1,-1/1,-1/1,-1/1,-1/1
image-44,singleton,1,complete,supported,,True,4/1,0,1/1,1/1,1/1,1/1,1/1
image-45,singleton,1,complete,supported,,True,4/1,0,1/1,1/1,1/1,1/1,1/1
image-46,singleton,1,complete,excluded,,True,4/1,0,-1/1,-1/1,-1/1,-1/1,-1/1
image-47,singleton,1,complete,excluded,,True,4/1,0,0/1,0/1,0/1,0/1,0/1
image-48,singleton,1,complete,unresolved,opposite_worlds,True,4/1,0,1/1,-1/1,1/1,-1/1,1/1
image-49,singleton,1,complete,excluded,,True,4/1,0,0/1,0/1,0/1,0/1,0/1
image-50,singleton,1,complete,supported,,True,4/1,0,2/1,2/1,2/1,2/1,2/1
image-51,singleton,1,complete,excluded,,True,4/1,0,0/1,0/1,0/1,0/1,0/1
image-52,singleton,1,complete,unresolved,opposite_worlds,True,4/1,0,1/1,-1/1,1/1,-1/1,1/1
image-53,singleton,1,complete,excluded,,True,4/1,0,0/1,0/1,0/1,0/1,0/1
image-54,singleton,1,complete,excluded,,True,4/1,0,0/1,0/1,0/1,0/1,0/1
image-55,singleton,1,complete,excluded,,True,4/1,0,-2/1,-2/1,0/1,-2/1,0/1
image-56,singleton,1,complete,excluded,,True,4/1,0,0/1,0/1,0/1,0/1,0/1
image-57,singleton,1,complete,unresolved,opposite_worlds,True,4/1,0,2/1,0/1,2/1,0/1,2/1
image-58,singleton,1,complete,supported,,True,4/1,0,1/1,1/1,1/1,1/1,1/1
image-59,singleton,1,complete,supported,,True,4/1,0,1/1,1/1,1/1,1/1,1/1
image-60,singleton,1,complete,excluded,,True,4/1,0,-3/1,-3/1,-3/1,-3/1,-3/1
image-61,singleton,1,complete,unresolved,opposite_worlds,True,4/1,0,1/1,-1/1,1/1,-1/1,1/1
image-62,singleton,1,complete,supported,,True,4/1,0,3/1,3/1,5/1,3/1,5/1
image-63,singleton,1,complete,excluded,,True,4/1,0,-1/1,-1/1,-1/1,-1/1,-1/1
block-00,block,8,complete,supported,,True,4/1,0,1/1,3/4,3/2,3/4,3/2
block-01,block,8,complete,supported,,True,4/1,0,7/4,1/1,7/4,1/1,7/4
block-02,block,8,complete,unresolved,opposite_worlds,True,4/1,0,1/4,0/1,1/4,0/1,1/4
block-03,block,8,complete,unresolved,opposite_worlds,True,4/1,0,0/1,0/1,1/1,0/1,1/1
block-04,block,8,complete,supported,,True,4/1,0,3/4,1/4,1/1,1/4,1/1
block-05,block,8,complete,unresolved,opposite_worlds,True,4/1,0,1/8,-1/8,3/8,-1/8,3/8
block-06,block,8,complete,unresolved,opposite_worlds,True,4/1,0,1/4,-1/4,1/2,-1/4,1/2
block-07,block,8,complete,unresolved,opposite_worlds,True,4/1,0,1/2,0/1,3/4,0/1,3/4
all-64,primary,64,complete,supported,,True,4/1,0,37/64,13/64,57/64,13/64,57/64
image-00,singleton,1,complete,supported,,True,8/1,0,2/1,2/1,2/1,2/1,2/1
image-01,singleton,1,complete,supported,,True,8/1,0,3/1,1/1,5/1,1/1,5/1
